Name,Mean,95% CI,SD,ESS,GRS,Prior
E mean occupancy,3.8,3.8 --- 3.8,7.3e-08,---,---,Fixed(3.8)
I Infectivity,1,1 --- 1,0,---,---,Fixed(1)
I mean occupancy,4,4 --- 4,0,---,---,Fixed(4)
C mean occupancy,3.1,3.1 --- 3.1,1.19e-07,---,---,Fixed(3.1)
A Infectivity,0.55,0.55 --- 0.55,0,---,---,Fixed(0.55)
A mean occupancy,4,4 --- 4,0,---,---,Fixed(4)
H mean occupancy,13,13 --- 13,0,---,---,Fixed(13)
T mean occupancy 0-19,11.4,9.34 --- 13.7,1.15,---,---,Uniform(4|20)
T mean occupancy 20-24,11,8.26 --- 14.1,1.51,---,---,Uniform(4|20)
T mean occupancy 25-29,11.6,8.82 --- 14.7,1.56,---,---,Uniform(4|20)
T mean occupancy 30-34,12.4,9.26 --- 17.1,1.86,---,---,Uniform(4|20)
T mean occupancy 35-39,13.4,10.3 --- 17.2,1.74,---,---,Uniform(4|20)
T mean occupancy 40-44,12.2,9.58 --- 15.6,1.64,---,---,Uniform(4|20)
T mean occupancy 45-49,10,7.64 --- 12.5,1.32,---,---,Uniform(4|20)
T mean occupancy 50-54,8.71,6 --- 11.9,1.41,---,---,Uniform(4|20)
T mean occupancy 55-59,8.08,5.77 --- 10.6,1.18,---,---,Uniform(4|20)
T mean occupancy 60-64,11.4,8.56 --- 14.5,1.67,---,---,Uniform(4|20)
T mean occupancy 65-69,13.3,10.3 --- 16.7,1.72,---,---,Uniform(4|20)
T mean occupancy 70-74,14.6,11.1 --- 18.7,1.96,---,---,Uniform(4|20)
T mean occupancy 75-79,11.4,8.36 --- 14.6,1.66,---,---,Uniform(4|20)
T mean occupancy 80+,8.97,5.66 --- 12.4,1.82,---,---,Uniform(4|20)
E->A 0-4,0.779,0.708 --- 0.831,0.0325,---,---,Dir(*)
E->A 5-9,0.853,0.813 --- 0.891,0.0211,---,---,Dir(*)
E->A 10-14,0.758,0.688 --- 0.817,0.0351,---,---,Dir(*)
E->A 15-19,0.636,0.553 --- 0.722,0.0441,---,---,Dir(*)
E->A 20-24,0.555,0.418 --- 0.638,0.0593,---,---,Dir(*)
E->A 25-29,0.529,0.429 --- 0.613,0.0478,---,---,Dir(*)
E->A 30-34,0.458,0.309 --- 0.592,0.0715,---,---,Dir(*)
E->A 35-39,0.43,0.271 --- 0.55,0.0715,---,---,Dir(*)
E->A 40-44,0.461,0.328 --- 0.6,0.0686,---,---,Dir(*)
E->A 45-49,0.533,0.4 --- 0.637,0.0564,---,---,Dir(*)
E->A 50-54,0.577,0.468 --- 0.682,0.0536,---,---,Dir(*)
E->A 55-59,0.62,0.533 --- 0.691,0.0432,---,---,Dir(*)
E->A 60-64,0.572,0.472 --- 0.661,0.0492,---,---,Dir(*)
E->A 65-69,0.649,0.553 --- 0.727,0.0442,---,---,Dir(*)
E->A 70-74,0.699,0.605 --- 0.763,0.0418,---,---,Dir(*)
E->A 75-79,0.731,0.663 --- 0.787,0.0316,---,---,Dir(*)
E->A 80+,0.231,0.109 --- 0.341,0.0646,---,---,Dir(*)
E->I 0-4,0.221,0.169 --- 0.292,0.0325,---,---,Dir(*)
E->I 5-9,0.147,0.109 --- 0.187,0.0211,---,---,Dir(*)
E->I 10-14,0.242,0.183 --- 0.312,0.0351,---,---,Dir(*)
E->I 15-19,0.364,0.278 --- 0.447,0.0441,---,---,Dir(*)
E->I 20-24,0.445,0.362 --- 0.582,0.0593,---,---,Dir(*)
E->I 25-29,0.471,0.387 --- 0.571,0.0478,---,---,Dir(*)
E->I 30-34,0.542,0.408 --- 0.691,0.0715,---,---,Dir(*)
E->I 35-39,0.57,0.45 --- 0.729,0.0715,---,---,Dir(*)
E->I 40-44,0.539,0.4 --- 0.672,0.0686,---,---,Dir(*)
E->I 45-49,0.467,0.363 --- 0.6,0.0564,---,---,Dir(*)
E->I 50-54,0.423,0.318 --- 0.532,0.0536,---,---,Dir(*)
E->I 55-59,0.38,0.309 --- 0.467,0.0432,---,---,Dir(*)
E->I 60-64,0.428,0.339 --- 0.528,0.0492,---,---,Dir(*)
E->I 65-69,0.351,0.273 --- 0.447,0.0442,---,---,Dir(*)
E->I 70-74,0.301,0.237 --- 0.395,0.0418,---,---,Dir(*)
E->I 75-79,0.269,0.213 --- 0.337,0.0316,---,---,Dir(*)
E->I 80+,0.769,0.659 --- 0.891,0.0646,---,---,Dir(*)
I->T 0-4,0.965,0.953 --- 0.98,0.00653,---,---,Dir(1)
I->T 5-9,0.993,0.99 --- 0.995,0.00133,---,---,Dir(1)
I->T 10-14,0.994,0.992 --- 0.996,0.00095,---,---,Dir(1)
I->T 15-19,0.994,0.992 --- 0.996,0.000931,---,---,Dir(1)
I->T 20-24,0.99,0.987 --- 0.995,0.00178,---,---,Dir(1)
I->T 25-29,0.985,0.981 --- 0.989,0.00218,---,---,Dir(1)
I->T 30-34,0.979,0.973 --- 0.984,0.00269,---,---,Dir(1)
I->T 35-39,0.973,0.965 --- 0.98,0.00376,---,---,Dir(1)
I->T 40-44,0.966,0.955 --- 0.974,0.00496,---,---,Dir(1)
I->T 45-49,0.956,0.944 --- 0.967,0.00587,---,---,Dir(1)
I->T 50-54,0.935,0.917 --- 0.95,0.00833,---,---,Dir(1)
I->T 55-59,0.905,0.88 --- 0.925,0.012,---,---,Dir(1)
I->T 60-64,0.864,0.825 --- 0.895,0.0183,---,---,Dir(1)
I->T 65-69,0.792,0.727 --- 0.84,0.0295,---,---,Dir(1)
I->T 70-74,0.626,0.519 --- 0.718,0.0509,---,---,Dir(1)
I->T 75-79,0.528,0.41 --- 0.64,0.0619,---,---,Dir(1)
I->T 80+,0.414,0.259 --- 0.536,0.0692,---,---,Dir(1)
I->C 0-4,0.0355,0.02 --- 0.0467,0.00653,---,---,Dir(0.3)
I->C 5-9,0.00732,0.00522 --- 0.0105,0.00133,---,---,Dir(0.3)
I->C 10-14,0.00583,0.00436 --- 0.0078,0.00095,---,---,Dir(0.3)
I->C 15-19,0.00558,0.00392 --- 0.00764,0.000931,---,---,Dir(0.3)
I->C 20-24,0.00973,0.00517 --- 0.0129,0.00178,---,---,Dir(0.3)
I->C 25-29,0.0146,0.0106 --- 0.0193,0.00218,---,---,Dir(0.3)
I->C 30-34,0.0207,0.016 --- 0.0265,0.00269,---,---,Dir(0.3)
I->C 35-39,0.0272,0.0201 --- 0.0351,0.00376,---,---,Dir(0.3)
I->C 40-44,0.0338,0.0256 --- 0.045,0.00496,---,---,Dir(0.3)
I->C 45-49,0.0436,0.0332 --- 0.0564,0.00587,---,---,Dir(0.3)
I->C 50-54,0.0647,0.0499 --- 0.0833,0.00833,---,---,Dir(0.3)
I->C 55-59,0.0949,0.0748 --- 0.12,0.012,---,---,Dir(0.3)
I->C 60-64,0.136,0.105 --- 0.175,0.0183,---,---,Dir(0.3)
